File	ALIGNMENT_PERCENT_BLANKS_MARKER	ALIGNMENT_BLANKS_COUNT	ALIGNMENT_GAPS_COUNT	ALIGNMENT_ROWS_COUNT	ALIGNMENT_COLUMNS_COUNT	ALIGNMENT_AVERAGE_GAPS_PER_SEQUENCE	ALIGNMENT_AVERAGE_GAP_LENGTH	ALIGNMENT_STDDEV_GAP_LENGTH	ALIGNMENT_MEDIAN_GAP_LENGTH	ALIGNMENT_MNHD	ALIGNMENT_ANHD
./aln_stats/small_dense_TRUE_13.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.176	0.04893522877
./aln_stats/large_sparse_TRUE_2.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.362	0.2549322449
./aln_stats/large_dense_TRUE_8.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.436	0.2606392208
./aln_stats/moderate_sparse_TRUE_18.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.332	0.2265012245
./aln_stats/small_sparse_TRUE_19.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.124	0.05849469388
./aln_stats/moderate_sparse_TRUE_16.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.32	0.2119689796
./aln_stats/moderate_sparse_TRUE_6.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.32	0.2008
./aln_stats/moderate_sparse_TRUE_3.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.314	0.1958269388
./aln_stats/small_dense_TRUE_5.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.17	0.04988996603
./aln_stats/large_dense_TRUE_20.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.452	0.2815475485
./aln_stats/small_dense_TRUE_20.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.158	0.05494341658
./aln_stats/moderate_sparse_TRUE_1.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.284	0.1916636735
./aln_stats/moderate_dense_TRUE_11.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.376	0.2191996244
./aln_stats/small_sparse_TRUE_10.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.102	0.05605714286
./aln_stats/large_dense_TRUE_13.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.418	0.2644657702
./aln_stats/large_sparse_TRUE_3.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.346	0.2393208163
./aln_stats/small_dense_TRUE_7.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.172	0.05099870929
./aln_stats/large_sparse_TRUE_5.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.364	0.2612538776
./aln_stats/small_sparse_TRUE_14.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.128	0.05520326531
./aln_stats/moderate_dense_TRUE_17.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.346	0.1908321039
./aln_stats/moderate_sparse_TRUE_19.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.306	0.2091820408
./aln_stats/small_sparse_TRUE_1.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.096	0.04732408163
./aln_stats/moderate_dense_TRUE_3.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.356	0.1994217862
./aln_stats/small_sparse_TRUE_4.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.112	0.05683755102
./aln_stats/small_dense_TRUE_18.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.152	0.05046794805
./aln_stats/small_sparse_TRUE_7.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.11	0.05155265306
./aln_stats/small_dense_TRUE_16.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.184	0.05656255345
./aln_stats/large_dense_TRUE_18.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.414	0.2698167073
./aln_stats/small_dense_TRUE_3.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.158	0.05259439361
./aln_stats/large_dense_TRUE_10.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.394	0.2394405594
./aln_stats/small_sparse_TRUE_6.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.13	0.05919020408
./aln_stats/large_sparse_TRUE_15.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.356	0.2444
./aln_stats/large_sparse_TRUE_9.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.388	0.2787689796
./aln_stats/large_dense_TRUE_1.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.42	0.2670945095
./aln_stats/moderate_sparse_TRUE_17.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.322	0.2166220408
./aln_stats/large_sparse_TRUE_20.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.38	0.2644914286
./aln_stats/moderate_dense_TRUE_14.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.372	0.1985689111
./aln_stats/moderate_sparse_TRUE_11.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.282	0.1729665306
./aln_stats/moderate_dense_TRUE_18.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.324	0.1821264336
./aln_stats/small_dense_TRUE_19.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.18	0.05228950649
./aln_stats/moderate_sparse_TRUE_15.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.284	0.190235102
./aln_stats/moderate_dense_TRUE_13.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.362	0.1970397762
./aln_stats/small_sparse_TRUE_18.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.142	0.05428408163
./aln_stats/moderate_dense_TRUE_19.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.334	0.1782351129
./aln_stats/large_sparse_TRUE_17.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.364	0.2621355102
./aln_stats/moderate_dense_TRUE_5.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.352	0.1958665215
./aln_stats/large_sparse_TRUE_7.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.344	0.2415869388
./aln_stats/large_dense_TRUE_6.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.438	0.2674891469
./aln_stats/moderate_sparse_TRUE_7.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.314	0.2137665306
./aln_stats/moderate_dense_TRUE_10.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.362	0.2036701259
./aln_stats/small_sparse_TRUE_15.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.116	0.05386122449
./aln_stats/large_sparse_TRUE_6.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.394	0.2881844898
./aln_stats/moderate_sparse_TRUE_4.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.314	0.2192914286
./aln_stats/large_dense_TRUE_19.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.432	0.2495849031
./aln_stats/small_sparse_TRUE_5.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.138	0.05805061224
./aln_stats/large_dense_TRUE_11.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.4	0.2381758282
./aln_stats/moderate_sparse_TRUE_10.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.312	0.2012440816
./aln_stats/small_dense_TRUE_4.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.17	0.0549925035
./aln_stats/large_dense_TRUE_17.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.392	0.2566009191
./aln_stats/moderate_dense_TRUE_9.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.342	0.1862215145
./aln_stats/small_sparse_TRUE_9.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.114	0.05381714286
./aln_stats/moderate_dense_TRUE_8.txt	0.0	0.0	0.0	1001.0	500.0	0.0	0.0	0.0	0.0	0.336	0.1922104456
./aln_stats/small_sparse_TRUE_2.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.134	0.05562938776
./aln_stats/large_sparse_TRUE_11.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.356	0.2364326531
./aln_stats/large_sparse_TRUE_8.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.374	0.2606481633
./aln_stats/small_sparse_TRUE_20.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.136	0.05865142857
./aln_stats/moderate_sparse_TRUE_9.txt	0.0	0.0	0.0	50.0	500.0	0.0	0.0	0.0	0.0	0.286	0.1863020408
